doctor_name,clinic,physician_count,unique_link
2 SEE OPTOMETRY,2 SEE OPTOMETRY,1,https://khannainstitute.com/2-see-optometry
17TH STREET OPTOMETRY,17TH STREET OPTOMETRY,1,https://khannainstitute.com/17th-street-optometry
,20/20 EYECARE CENTER,2,https://khannainstitute.com/20-20-eyecare-center
A+ VISION OPTOMETRY,A+ VISION OPTOMETRY,1,https://khannainstitute.com/a-vision-optometry
ACCUVISION OPTOMETRY,ACCUVISION OPTOMETRY,1,https://khannainstitute.com/accuvision-optometry
ACUITY EYE GROUP,ACUITY EYE GROUP,1,https://khannainstitute.com/acuity-eye-group
ACUITY EYE GROUP & RETINA INSTITUTE OF CALIFORNIA,ACUITY EYE GROUP & RETINA INSTITUTE OF CALIFORNIA,1,https://khannainstitute.com/acuity-eye-group-retina-institute-of-california
ACUITY EYE GROUP 360 ADVANCED VISION CENTER,ACUITY EYE GROUP 360 ADVANCED VISION CENTER,1,https://khannainstitute.com/acuity-eye-group-360-advanced-vision-center
,ADVANCED EYECARE CENTER,2,https://khannainstitute.com/advanced-eyecare-center
ADVANCED FAMILY EYE CARE,ADVANCED FAMILY EYE CARE,1,https://khannainstitute.com/advanced-family-eye-care
,ADVANCED FAMILY VISION CENTER OPTOMETRY,2,https://khannainstitute.com/advanced-family-vision-center-optometry
ADVANCED FAMILY VISION OPTOMETRY,ADVANCED FAMILY VISION OPTOMETRY,1,https://khannainstitute.com/advanced-family-vision-optometry
ADVANCED OPTOMETRY OF MISSION VIEJO,ADVANCED OPTOMETRY OF MISSION VIEJO,1,https://khannainstitute.com/advanced-optometry-of-mission-viejo
ALAMEDA FAMILY OPTOMETRY,ALAMEDA FAMILY OPTOMETRY,1,https://khannainstitute.com/alameda-family-optometry
"ALEJANDRO M ARREDONDO, O.D.","ALEJANDRO M ARREDONDO, O.D.",1,https://khannainstitute.com/alejandro-m-arredondo-o-d
ALISO NIGUEL OPTOMETRY,ALISO NIGUEL OPTOMETRY,1,https://khannainstitute.com/aliso-niguel-optometry
ALL ABOUT EYES FAMILY OPTOMETRY,ALL ABOUT EYES FAMILY OPTOMETRY,1,https://khannainstitute.com/all-about-eyes-family-optometry
ALLRED FAMILY EYE CARE OPTOMETRY,ALLRED FAMILY EYE CARE OPTOMETRY,1,https://khannainstitute.com/allred-family-eye-care-optometry
,ALPERT VISION CARE,2,https://khannainstitute.com/alpert-vision-care
,AMERICA'S BEST CONTACTS & EYEGLASSES,2,https://khannainstitute.com/americas-best-contacts-eyeglasses
"AMY T, CHU, O.D.","AMY T, CHU, O.D.",1,https://khannainstitute.com/amy-t-chu-o-d
ANAHEIM EYE INSTITUTE,ANAHEIM EYE INSTITUTE,1,https://khannainstitute.com/anaheim-eye-institute
,ANAHEIM HILLS OPTOMETRIC CENTER,2,https://khannainstitute.com/anaheim-hills-optometric-center
,ANTELOPE MALL VISION CENTER OPTOMETRY,2,https://khannainstitute.com/antelope-mall-vision-center-optometry
,ANTELOPE VALLEY FAMILY OPTOMETRY,2,https://khannainstitute.com/antelope-valley-family-optometry
,ANTELOPE VALLEY OPTOMETRIC,2,https://khannainstitute.com/antelope-valley-optometric
ARGO OPTOMETRY,ARGO OPTOMETRY,1,https://khannainstitute.com/argo-optometry
ARROW VISION CENTER OPTOMETRY,ARROW VISION CENTER OPTOMETRY,1,https://khannainstitute.com/arrow-vision-center-optometry
ATLANTIS EYE CARE,ATLANTIS EYE CARE,1,https://khannainstitute.com/atlantis-eye-care
ATTENTIVE EYE CARE,ATTENTIVE EYE CARE,1,https://khannainstitute.com/attentive-eye-care
ATTITUDE OPTOMETRY,ATTITUDE OPTOMETRY,1,https://khannainstitute.com/attitude-optometry
"AVANI J PATEL, OD","AVANI J PATEL, OD",1,https://khannainstitute.com/avani-j-patel-od
,AZUL VISION,5,https://khannainstitute.com/azul-vision
BEACH CITIES OPTOMETRY,BEACH CITIES OPTOMETRY,1,https://khannainstitute.com/beach-cities-optometry
,"BEACHSIDE OPTOMETRY, INC.",3,https://khannainstitute.com/beachside-optometry-inc
BEAR CREEK EYE CARE,BEAR CREEK EYE CARE,1,https://khannainstitute.com/bear-creek-eye-care
BEAVER MEDICAL GROUP,BEAVER MEDICAL GROUP,1,https://khannainstitute.com/beaver-medical-group
,BEL VILLAGGIO EYE CARE,2,https://khannainstitute.com/bel-villaggio-eye-care
BELMONT SHORE OPTOMETRIC,BELMONT SHORE OPTOMETRIC,1,https://khannainstitute.com/belmont-shore-optometric
BENDER OPTOMETRIC GROUP,BENDER OPTOMETRIC GROUP,1,https://khannainstitute.com/bender-optometric-group
BENJAMIN EYE INSTITUTE,BENJAMIN EYE INSTITUTE,1,https://khannainstitute.com/benjamin-eye-institute
"BEVERLY GROVE VISION CARE OPTOMETRY, INC.","BEVERLY GROVE VISION CARE OPTOMETRY, INC.",1,https://khannainstitute.com/beverly-grove-vision-care-optometry-inc
BEVERLY HILLS VISION GROUP,BEVERLY HILLS VISION GROUP,1,https://khannainstitute.com/beverly-hills-vision-group
,BEVERLY PLAZA OPTOMETRIC CENTER (INSIDE LENSCRAFTERS),2,https://khannainstitute.com/beverly-plaza-optometric-center-inside-lenscrafters
,BLACKSTONE OPTOMETRY,2,https://khannainstitute.com/blackstone-optometry
BOYS AND GIRLS CLUB - GARDEN GROVE,BOYS AND GIRLS CLUB - GARDEN GROVE,1,https://khannainstitute.com/boys-and-girls-club-garden-grove
,BRAND OPTOMETRY,4,https://khannainstitute.com/brand-optometry
BREA OPTOMETRY,BREA OPTOMETRY,1,https://khannainstitute.com/brea-optometry
"BRIAN N. HIGA, O.D. & ASSOCIATES","BRIAN N. HIGA, O.D. & ASSOCIATES",1,https://khannainstitute.com/brian-n-higa-o-d-associates
"BRUCE F. GRANT, O.D.","BRUCE F. GRANT, O.D.",1,https://khannainstitute.com/bruce-f-grant-o-d
,BUENA PARK EYECARE,2,https://khannainstitute.com/buena-park-eyecare
BUENA VISTA EYE MEDICAL CENTER,BUENA VISTA EYE MEDICAL CENTER,1,https://khannainstitute.com/buena-vista-eye-medical-center
,BUENA VISTA EYECARE,2,https://khannainstitute.com/buena-vista-eyecare
BURBANK FAMILY OPTOMETRY,BURBANK FAMILY OPTOMETRY,1,https://khannainstitute.com/burbank-family-optometry
BURBANK OPTOMETRIC CENTER INC,BURBANK OPTOMETRIC CENTER INC,1,https://khannainstitute.com/burbank-optometric-center-inc
C & K VISION OPTOMETRY,C & K VISION OPTOMETRY,1,https://khannainstitute.com/c-k-vision-optometry
,CALIFORNIA EYE SPECALISTS,2,https://khannainstitute.com/california-eye-specalists
,CALIFORNIA EYE SPECIALISTS,2,https://khannainstitute.com/california-eye-specialists
CANYON CITY EYECARE,CANYON CITY EYECARE,1,https://khannainstitute.com/canyon-city-eyecare
,CAPISTRANO VISION CENTER,2,https://khannainstitute.com/capistrano-vision-center
CARSON VISION,CARSON VISION,1,https://khannainstitute.com/carson-vision
CASA COLINA HOSPITAL AND CENTERS FOR HEALTHCARE,CASA COLINA HOSPITAL AND CENTERS FOR HEALTHCARE,1,https://khannainstitute.com/casa-colina-hospital-and-centers-for-healthcare
,CENTER FOR VISION DEVELOPMENT OPTOMETRY INC.,5,https://khannainstitute.com/center-for-vision-development-optometry-inc
CENTURY CITY OPTOMETRIC CENTER,CENTURY CITY OPTOMETRIC CENTER,1,https://khannainstitute.com/century-city-optometric-center
CENTURY CITY OPTOMETRY,CENTURY CITY OPTOMETRY,1,https://khannainstitute.com/century-city-optometry
CHAPCARE MEDICAL HEALTH CENTER,CHAPCARE MEDICAL HEALTH CENTER,1,https://khannainstitute.com/chapcare-medical-health-center
"CHARLES BITTEL III, O.D. INC.","CHARLES BITTEL III, O.D. INC.",1,https://khannainstitute.com/charles-bittel-iii-o-d-inc
,CHINO HILLS EYECARE OPTOMETRY,2,https://khannainstitute.com/chino-hills-eyecare-optometry
,CHINO OPTOMETRY CENTER,2,https://khannainstitute.com/chino-optometry-center
